0.02247546 0.695093 0.7220705 0.2779295 -3780.18
0.02243413 0.693677 0.7206048 0.2793952 -3780.31
0.02256209 0.692261 0.7194226 0.2805774 -3781.06
0.02266579 0.695337 0.7216942 0.2783058 -3781.06
0.02279999 0.695581 0.7173691 0.2826309 -3780.72
0.02283584 0.696167 0.7177006 0.2822994 -3780.75
0.02247207 0.691724 0.7161005 0.2838995 -3779.92
0.02251866 0.694653 0.7190564 0.2809436 -3779.9
0.02255775 0.698364 0.7237424 0.2762576 -3779.98
0.02244494 0.703735 0.7287739 0.2712261 -3780.05
0.02248225 0.705396 0.7303059 0.2696941 -3779.99
0.02268189 0.720483 0.7462307 0.2537693 -3780.79
0.02255734 0.715161 0.7406421 0.2593579 -3781.39
0.02250974 0.696948 0.7181093 0.2818907 -3780.7
0.02235489 0.687671 0.707722 0.292278 -3780.53
0.02269486 0.687329 0.7040387 0.2959613 -3780.05
0.02262615 0.689819 0.7083848 0.2916152 -3779.49
0.0226038 0.687573 0.7052505 0.2947495 -3779.52
0.02238269 0.688794 0.7088594 0.2911406 -3779.87
0.02261858 0.686304 0.7028709 0.2971291 -3779.94
0.0225668 0.682642 0.6987114 0.3012886 -3779.43
0.0224181 0.67644 0.6923811 0.3076189 -3780.15
0.02255184 0.683765 0.7006311 0.2993689 -3780.55
0.02256662 0.682056 0.6989967 0.3010033 -3780.87
0.02210711 0.655396 0.6647569 0.3352431 -3782.62
0.02228262 0.661206 0.6717624 0.3282376 -3781.25
0.02225308 0.661401 0.67238 0.32762 -3781.17
0.02238622 0.657593 0.6638592 0.3361408 -3781.53
0.02239422 0.678491 0.7004849 0.2995151 -3781.4
0.02230119 0.683472 0.7073407 0.2926593 -3780.44
0.02272692 0.705786 0.7309605 0.2690395 -3780.24
0.02272164 0.707056 0.7325969 0.2674031 -3780.21
0.02289199 0.710083 0.7351469 0.2648531 -3779.99
0.02295036 0.709546 0.7339432 0.2660568 -3780.27
0.02251026 0.701099 0.7271616 0.2728384 -3780.55
0.02329787 0.702319 0.7223149 0.2776851 -3782.33
0.02314031 0.722095 0.74729 0.25271 -3781.67
0.02312782 0.721655 0.747071 0.252929 -3781.73
0.02318589 0.716821 0.7397134 0.2602866 -3781.67
0.02318076 0.717261 0.7404561 0.2595439 -3781.63
0.02309827 0.707544 0.7296802 0.2703198 -3781.42
0.02309076 0.707153 0.7292869 0.2707131 -3781.42
0.02231126 0.707398 0.7380052 0.2619948 -3780.85
0.0222165 0.69563 0.72444 0.27556 -3781.07
0.02220568 0.690894 0.7167214 0.2832786 -3780.24
0.0220904 0.685913 0.7115558 0.2884442 -3780.38
0.02216263 0.687134 0.7123485 0.2876515 -3780.24
0.02225961 0.690552 0.7158398 0.2841602 -3780.02
0.02210413 0.673511 0.6974127 0.3025873 -3781.57
0.02155448 0.681519 0.7130926 0.2869074 -3782.55
0.02161515 0.679224 0.7082958 0.2917042 -3781.93
0.02201871 0.68772 0.7128646 0.2871354 -3781.03
0.02196076 0.685376 0.7102363 0.2897637 -3781.17
0.02198421 0.690405 0.715289 0.284711 -3780.78
0.02218421 0.703052 0.7300032 0.2699968 -3780.75
0.022387 0.703198 0.7281075 0.2718925 -3780.43
0.02204888 0.703394 0.7320231 0.2679769 -3783.35
0.022111 0.702222 0.7285148 0.2714852 -3783.17
0.02215736 0.706616 0.7344537 0.2655463 -3782.64
0.02268408 0.711206 0.7342901 0.2657099 -3779.9
0.0226764 0.711646 0.734948 0.265052 -3779.92
0.02276706 0.715015 0.7384712 0.2615288 -3780.6
0.02263802 0.709204 0.7342062 0.2657938 -3780.27
0.0227072 0.703784 0.7274261 0.2725739 -3779.96
0.02244772 0.701196 0.7261987 0.2738013 -3780.36
0.0225998 0.69812 0.7191112 0.2808888 -3781.09
0.02274443 0.728589 0.7559811 0.2440189 -3782.22
0.02230461 0.710913 0.7399311 0.2600689 -3781.57
0.02251202 0.715796 0.7458227 0.2541773 -3781.58
0.02204569 0.688013 0.7153045 0.2846955 -3781.96
0.02205369 0.681128 0.7076943 0.2923057 -3782.61
0.0221047 0.709692 0.7459446 0.2540554 -3784.58
0.0228242 0.715796 0.7434824 0.2565176 -3784.44
0.02271977 0.717261 0.7438598 0.2561402 -3782.77
0.02306365 0.734888 0.759659 0.240341 -3783.12
0.02290824 0.730151 0.7556804 0.2443196 -3784.38
0.02281048 0.732788 0.7596358 0.2403642 -3784.54
0.02318231 0.748413 0.7726263 0.2273737 -3783.39
0.02320275 0.74812 0.772243 0.227757 -3783.32
0.02289418 0.738648 0.7632138 0.2367862 -3783.26
0.02289306 0.738159 0.7628913 0.2371087 -3783.11
0.02298877 0.740063 0.7643148 0.2356852 -3782.34
0.02274051 0.726977 0.7520955 0.2479045 -3781.36
0.02284692 0.727905 0.7523156 0.2476844 -3781.2
0.02306616 0.730444 0.7532977 0.2467023 -3782.04
0.02325004 0.735815 0.7569125 0.2430875 -3782.25
0.02288736 0.729614 0.7581104 0.2418896 -3782.13
0.02293022 0.727905 0.7552963 0.2447037 -3781.69
0.02274888 0.68938 0.7085856 0.2914144 -3780.81
0.02275371 0.694263 0.7124709 0.2875291 -3780.16
0.02266789 0.694116 0.7127874 0.2872126 -3779.93
0.02256058 0.690552 0.7089415 0.2910585 -3779.76
0.02266463 0.693384 0.7124417 0.2875583 -3779.48
0.0228313 0.700952 0.7197857 0.2802143 -3779.45
0.02254173 0.695142 0.7180306 0.2819694 -3779.53
0.02245392 0.687622 0.7058711 0.2941289 -3779.92
0.0226179 0.687622 0.7034802 0.2965198 -3780.04
